swahili,english,sim_pre_tli,sim_post_tli,group,improvement
-anana,thin,0.24155500531196594,0.3081326484680176,trained,0.06657764315605164
-bovu,rotten,0.23998746275901794,0.33991092443466187,trained,0.09992346167564392
-chafuka,rough,0.22002176940441132,0.3258783221244812,trained,0.10585655272006989
-embamba,narrow,0.3555164635181427,0.39402762055397034,trained,0.03851115703582764
-fupi,short,0.23424026370048523,0.28618037700653076,trained,0.05194011330604553
-ingine,other,0.1948300302028656,0.2952669858932495,trained,0.10043695569038391
-kavu,dry,0.23794129490852356,0.3432638943195343,trained,0.10532259941101074
-nene,thick,0.326158344745636,0.38276124000549316,trained,0.05660289525985718
-ororo,smooth,0.14540480077266693,0.2252182960510254,trained,0.07981349527835846
-ote,all,0.28240931034088135,0.3444095253944397,trained,0.06200021505355835
-pana,wide,0.26622694730758667,0.33591002225875854,trained,0.06968307495117188
-refu,long,0.23556235432624817,0.3193916082382202,trained,0.08382925391197205
-zito,heavy,0.21369591355323792,0.2816450297832489,trained,0.06794911623001099
Agosti,August,0.37506043910980225,0.41559576988220215,trained,0.0405353307723999
Alhamisi,Thursday,0.1814241111278534,0.24878820776939392,trained,0.06736409664154053
Aprili,April,0.5902233719825745,0.6141771078109741,trained,0.023953735828399658
Desemba,December,0.28220048546791077,0.3418391942977905,trained,0.05963870882987976
Februari,February,0.5253767967224121,0.5192457437515259,trained,-0.0061310529708862305
Ijumaa,Friday,0.22686892747879028,0.30486881732940674,trained,0.07799988985061646
Januari,January,0.536838173866272,0.5751186013221741,trained,0.0382804274559021
Julai,July,0.5173166394233704,0.5737130045890808,trained,0.05639636516571045
Jumamosi,Saturday,0.21641840040683746,0.2790675759315491,trained,0.06264917552471161
Jumanne,Tuesday,0.24470484256744385,0.3166946470737457,trained,0.07198980450630188
Jumapili,Sunday,0.2234867662191391,0.2860286831855774,trained,0.0625419169664383
Jumatano,Wednesday,0.25120267271995544,0.3048088550567627,trained,0.05360618233680725
Jumatatu,Monday,0.26843735575675964,0.3322319984436035,trained,0.06379464268684387
Juni,June,0.5215646028518677,0.5270214080810547,trained,0.005456805229187012
Kamba,rope,0.3257637023925781,0.4087728261947632,trained,0.08300912380218506
Machi,March,0.39328503608703613,0.42771947383880615,trained,0.03443443775177002
Mei,May,0.398419588804245,0.45693883299827576,trained,0.05851924419403076
Novemba,November,0.5004251003265381,0.5238155126571655,trained,0.02339041233062744
Oktoba,October,0.4037361741065979,0.42642101645469666,trained,0.022684842348098755
Septemba,September,0.49532562494277954,0.5514706373214722,trained,0.05614501237869263
afya,health,0.28002047538757324,0.3640918731689453,trained,0.08407139778137207
amani,peace,0.2472861409187317,0.30275583267211914,trained,0.05546969175338745
anga,sky,0.2630990743637085,0.36321666836738586,trained,0.10011759400367737
arobaini,forty,0.2726598381996155,0.3830414414405823,trained,0.1103816032409668
asante,thank you,0.26171961426734924,0.3482908606529236,trained,0.08657124638557434
asante sana,thank you very much,0.2922855615615845,0.44043511152267456,trained,0.1481495499610901
askari,soldier/police officer,0.2729317545890808,0.37830549478530884,trained,0.10537374019622803
asubuhi,morning,0.24128839373588562,0.33374249935150146,trained,0.09245410561561584
au,or,0.39878320693969727,0.491426944732666,trained,0.09264373779296875
baba,father,0.42167022824287415,0.42833995819091797,trained,0.006669729948043823
